year;month;value
2018;10;76.73
2018;9;75.36
2018;8;71.08
2018;7;72.67
2018;6;71.98
2018;5;73.43
2018;4;68.79
2018;3;64.17
2018;2;63.46
2018;1;66.23
2017;12;61.19
2017;11;59.93
2017;10;54.92
2017;9;52.95
2017;8;49.94
2017;7;47.66
2017;6;46.17
2017;5;49.89
2017;4;52.16
2017;3;50.9
2017;2;54.35
2017;1;53.59
2016;12;52.62
2016;11;45.26
2016;10;49.29
2016;9;45.04
2016;8;44.88
2016;7;44.13
2016;6;47.69
2016;5;45.94
2016;4;40.75
2016;3;37.34
2016;2;31.03
2016;1;29.78
2015;12;36.57
2015;11;43.11
2015;10;46.96
2015;9;46.28
2015;8;45.69
2015;7;54.34
2015;6;61.31
2015;5;62.51
2015;4;57.54
2015;3;52.83
2015;2;54.79
2015;1;47.11
2014;12;60.7
2014;11;76.99
2014;10;86.08
2014;9;95.85
2014;8;100.05